Pos,Team,PTS,Year
9,Lotus BRM,6.0,1967
10,McLaren BRM,3.0,1967
11,Brabham Climax,2.0,1967
1,Lotus Ford,62.0,1968
2,McLaren Ford,49.0,1968
3,Matra Ford,45.0,1968
4,Ferrari,32.0,1968
5,BRM,28.0,1968
6,Honda,14.0,1968
7,Cooper BRM,14.0,1968
8,Brabham Repco,10.0,1968
9,Matra,8.0,1968
10,Mclaren BRM,3.0,1968
1,Matra Ford,66.0,1969
2,Brabham Ford,49.0,1969
3,Lotus Ford,47.0,1969
4,McLaren Ford,38.0,1969
5,Ferrari,7.0,1969
6,BRM,7.0,1969
1,Lotus Ford,59.0,1970
2,Ferrari,52.0,1970
3,March Ford,48.0,1970
4,Brabham Ford,35.0,1970
5,McLaren Ford,35.0,1970
6,BRM,23.0,1970
7,Matra,23.0,1970
8,Surtees Ford,3.0,1970
1,Tyrrell Ford,73.0,1971
2,BRM,36.0,1971
3,Ferrari,33.0,1971
4,March Ford,33.0,1971
5,Lotus Ford,21.0,1971
6,McLaren Ford,10.0,1971
7,Matra,9.0,1971
8,Surtees Ford,8.0,1971
9,Brabham Ford,5.0,1971
1,Lotus Ford,61.0,1972
2,Tyrrell Ford,51.0,1972
3,McLaren Ford,47.0,1972
4,Ferrari,33.0,1972
5,Surtees Ford,18.0,1972
6,March Ford,15.0,1972
7,BRM,14.0,1972
8,Matra,12.0,1972
9,Brabham Ford,7.0,1972
1,Lotus Ford,92.0,1973
2,Tyrrell Ford,82.0,1973
3,McLaren Ford,58.0,1973
4,Brabham Ford,22.0,1973
5,March Ford,14.0,1973
6,Ferrari,12.0,1973
7,BRM,12.0,1973
8,Shadow Ford,9.0,1973
9,Surtees Ford,7.0,1973
10,Iso Marlboro Ford,2.0,1973
11,Tecno,1.0,1973
1,McLaren Ford,73.0,1974
2,Ferrari,65.0,1974
3,Tyrrell Ford,52.0,1974
4,Lotus Ford,42.0,1974
5,Brabham Ford,35.0,1974
6,Hesketh Ford,15.0,1974
7,BRM,10.0,1974
8,Shadow Ford,7.0,1974
9,March Ford,6.0,1974
10,Iso Marlboro Ford,4.0,1974
11,Surtees Ford,3.0,1974
12,Lola Ford,1.0,1974
1,Ferrari,72.5,1975
2,Brabham Ford,54.0,1975
3,McLaren Ford,53.0,1975
4,Hesketh Ford,33.0,1975
5,Tyrrell Ford,25.0,1975
6,Shadow Ford,9.5,1975
7,Lotus Ford,9.0,1975
8,March Ford,7.5,1975
9,Frank Williams Racing Cars/Williams,6.0,1975
10,Parnelli Ford,5.0,1975
11,Hill Ford,3.0,1975
12,Penske Ford,2.0,1975
13,Ensign Ford,1.0,1975
1,Ferrari,83.0,1976
2,McLaren Ford,74.0,1976
3,Tyrrell Ford,71.0,1976
4,Lotus Ford,29.0,1976
5,Penske Ford,20.0,1976
6,Ligier Matra,20.0,1976
7,March Ford,19.0,1976
8,Shadow Ford,10.0,1976
9,Brabham Alfa Romeo,9.0,1976
10,Surtees Ford,7.0,1976
11,Fittipaldi Ford,3.0,1976
12,Ensign Ford,2.0,1976
13,Parnelli Ford,1.0,1976
1,Ferrari,95.0,1977
2,Lotus Ford,62.0,1977
3,McLaren Ford,60.0,1977
4,Wolf Ford,55.0,1977
5,Brabham Alfa Romeo,27.0,1977
6,Tyrrell Ford,27.0,1977
7,Shadow Ford,23.0,1977
8,Ligier Matra,18.0,1977
9,Fittipaldi Ford,11.0,1977
10,Ensign Ford,10.0,1977
11,Surtees Ford,6.0,1977
12,Penske Ford,1.0,1977
1,Lotus Ford,86.0,1978
2,Ferrari,58.0,1978
3,Brabham Alfa Romeo,53.0,1978
4,Tyrrell Ford,38.0,1978
5,Wolf Ford,24.0,1978
6,Ligier Matra,19.0,1978
7,Fittipaldi Ford,17.0,1978
8,McLaren Ford,15.0,1978
9,Williams Ford,11.0,1978
10,Arrows Ford,11.0,1978
11,Shadow Ford,6.0,1978
12,Renault,3.0,1978
13,Surtees Ford,1.0,1978
14,Ensign Ford,1.0,1978
1,Ferrari,113.0,1979
2,Williams Ford,75.0,1979
3,Ligier Ford,61.0,1979
4,Lotus Ford,39.0,1979
5,Tyrrell Ford,28.0,1979
6,Renault,26.0,1979
7,McLaren Ford,15.0,1979
8,Brabham Ford,7.0,1979
9,Arrows Ford,5.0,1979
10,Shadow Ford,3.0,1979
11,ATS Ford,2.0,1979
12,Fittipaldi Ford,1.0,1979
1,Williams Ford,120.0,1980
2,Ligier Ford,66.0,1980
3,Brabham Ford,55.0,1980
4,Renault,38.0,1980
5,Lotus Ford,14.0,1980
6,Tyrrell Ford,12.0,1980
7,Arrows Ford,11.0,1980
8,Fittipaldi Ford,11.0,1980
9,McLaren Ford,11.0,1980
10,Ferrari,8.0,1980
11,Alfa Romeo,4.0,1980
1,Williams Ford,95.0,1981
2,Brabham Ford,61.0,1981
3,Renault,54.0,1981
4,Ligier Matra,44.0,1981
5,Ferrari,34.0,1981
6,McLaren Ford,28.0,1981
7,Lotus Ford,22.0,1981
8,Arrows Ford,10.0,1981
9,Alfa Romeo,10.0,1981
10,Tyrrell Ford,10.0,1981
11,Ensign Ford,5.0,1981
12,Theodore Ford,1.0,1981
13,ATS Ford,1.0,1981
1,Ferrari,74.0,1982
2,McLaren Ford,69.0,1982
3,Renault,62.0,1982
4,Williams Ford,58.0,1982
5,Lotus Ford,30.0,1982
6,Tyrrell Ford,25.0,1982
7,Brabham BMW,22.0,1982
8,Ligier Matra,20.0,1982
9,Brabham Ford,19.0,1982
10,Alfa Romeo,7.0,1982
11,Arrows Ford,5.0,1982
12,ATS Ford,4.0,1982
13,Osella Ford,3.0,1982
14,Fittipaldi Ford,1.0,1982
1,Ferrari,89.0,1983
2,Renault,79.0,1983
3,Brabham BMW,72.0,1983
4,Williams Ford,36.0,1983
5,McLaren Ford,34.0,1983
6,Alfa Romeo,18.0,1983
7,Tyrrell Ford,12.0,1983
8,Lotus Renault,11.0,1983
9,Toleman Hart,10.0,1983
10,Arrows Ford,4.0,1983
11,Williams Honda,2.0,1983
12,Theodore Ford,1.0,1983
13,Lotus Ford,1.0,1983
1,McLaren TAG,143.5,1984
2,Ferrari,57.5,1984
3,Lotus Renault,47.0,1984
4,Brabham BMW,38.0,1984
5,Renault,34.0,1984
6,Williams Honda,25.5,1984
7,Toleman Hart,16.0,1984
8,Alfa Romeo,11.0,1984
9,Arrows BMW,3.0,1984
10,Ligier Renault,3.0,1984
11,Arrows Ford,3.0,1984
12,Osella Alfa Romeo,2.0,1984
1,McLaren TAG,90.0,1985
2,Ferrari,82.0,1985
3,Lotus Renault,71.0,1985
4,Williams Honda,71.0,1985
5,Brabham BMW,26.0,1985
6,Ligier Renault,23.0,1985
7,Renault,16.0,1985
8,Arrows BMW,14.0,1985
9,Tyrrell Ford,4.0,1985
10,Tyrrell Renault,3.0,1985
1,Williams Honda,141.0,1986
2,McLaren TAG,96.0,1986
3,Lotus Renault,58.0,1986
4,Ferrari,37.0,1986
5,Ligier Renault,29.0,1986
6,Benetton BMW,19.0,1986
7,Tyrrell Renault,11.0,1986
8,Lola Ford,6.0,1986
9,Brabham BMW,2.0,1986
10,Arrows BMW,1.0,1986
1,Williams Honda,137.0,1987
2,McLaren TAG,76.0,1987
3,Lotus Honda,64.0,1987
4,Ferrari,53.0,1987
5,Benetton Ford,28.0,1987
6,Tyrrell Ford,11.0,1987
7,Arrows Megatron,11.0,1987
8,Brabham BMW,10.0,1987
9,Lola Ford,3.0,1987
10,Zakspeed,2.0,1987
11,March Ford,1.0,1987
12,Ligier Megatron,1.0,1987
13,AGS Ford,1.0,1987
1,McLaren Honda,199.0,1988
2,Ferrari,65.0,1988
3,Benetton Ford,39.0,1988
4,Arrows Megatron,23.0,1988
5,Lotus Honda,23.0,1988
6,March Judd,22.0,1988
7,Williams Judd,20.0,1988
8,Tyrrell Ford,5.0,1988
9,Rial Ford,3.0,1988
10,Minardi Ford,1.0,1988
1,McLaren Honda,141.0,1989
2,Williams Renault,77.0,1989
3,Ferrari,59.0,1989
4,Benetton Ford,39.0,1989
5,Tyrrell Ford,16.0,1989
6,Lotus Judd,15.0,1989
7,Arrows Ford,13.0,1989
8,Dallara Ford,8.0,1989
9,Brabham Judd,8.0,1989
10,Onyx Ford,6.0,1989
11,Minardi Ford,6.0,1989
12,March Judd,4.0,1989
13,Rial Ford,3.0,1989
14,Ligier Ford,3.0,1989
15,AGS Ford,1.0,1989
16,Lola Lamborghini,1.0,1989
1,McLaren Honda,121.0,1990
2,Ferrari,110.0,1990
3,Benetton Ford,71.0,1990
4,Williams Renault,57.0,1990
5,Tyrrell Ford,16.0,1990
6,Lola Lamborghini,11.0,1990
7,Leyton House Judd,7.0,1990
8,Lotus Lamborghini,3.0,1990
9,Arrows Ford,2.0,1990
10,Brabham Judd,2.0,1990
1,McLaren Honda,139.0,1991
2,Williams Renault,125.0,1991
3,Ferrari,55.5,1991
4,Benetton Ford,38.5,1991
5,Jordan Ford,13.0,1991
6,Tyrrell Honda,12.0,1991
7,Minardi Ferrari,6.0,1991
8,Dallara Judd,5.0,1991
9,Lotus Judd,3.0,1991
10,Brabham Yamaha,3.0,1991
11,Lola Ford,2.0,1991
12,Leyton House Ilmor,1.0,1991
1,Williams Renault,164.0,1992
2,McLaren Honda,99.0,1992
3,Benetton Ford,91.0,1992
4,Ferrari,21.0,1992
5,Lotus Ford,13.0,1992
6,Tyrrell Ilmor,8.0,1992
7,Footwork Mugen Honda,6.0,1992
8,Ligier Renault,6.0,1992
9,March Ilmor,3.0,1992
10,Dallara Ferrari,2.0,1992
11,Jordan Yamaha,1.0,1992
12,Minardi Lamborghini,1.0,1992
13,Venturi Lamborghini,1.0,1992
1,Williams Renault,168.0,1993
2,McLaren Ford,84.0,1993
3,Benetton Ford,72.0,1993
4,Ferrari,28.0,1993
5,Ligier Renault,23.0,1993
6,Lotus Ford,12.0,1993
7,Sauber,12.0,1993
8,Minardi Ford,7.0,1993
9,Footwork Mugen Honda,4.0,1993
10,Larrousse Lamborghini,3.0,1993
11,Jordan Hart,3.0,1993
1,Williams Renault,118.0,1994
2,Benetton Ford,103.0,1994
3,Ferrari,71.0,1994
4,McLaren Peugeot,42.0,1994
5,Jordan Hart,28.0,1994
6,Ligier Renault,13.0,1994
7,Tyrrell Yamaha,13.0,1994
8,Sauber Mercedes,12.0,1994
9,Footwork Ford,9.0,1994
10,Minardi Ford,5.0,1994
11,Larrousse Ford,2.0,1994
1,Benetton Renault,137.0,1995
2,Williams Renault,112.0,1995
3,Ferrari,73.0,1995
4,McLaren Mercedes,30.0,1995
5,Ligier Mugen Honda,24.0,1995
6,Jordan Peugeot,21.0,1995
7,Sauber Ford,18.0,1995
8,Footwork Hart,5.0,1995
9,Tyrrell Yamaha,5.0,1995
10,Minardi Ford,1.0,1995
1,Williams Renault,175.0,1996
2,Ferrari,70.0,1996
3,Benetton Renault,68.0,1996
4,McLaren Mercedes,49.0,1996
5,Jordan Peugeot,22.0,1996
6,Ligier Mugen Honda,15.0,1996
7,Sauber Ford,11.0,1996
8,Tyrrell Yamaha,5.0,1996
9,Footwork Hart,1.0,1996
1,Williams Renault,123.0,1997
2,Ferrari,102.0,1997
3,Benetton Renault,67.0,1997
4,McLaren Mercedes,63.0,1997
5,Jordan Peugeot,33.0,1997
6,Prost Mugen Honda,21.0,1997
7,Sauber Petronas,16.0,1997
8,Arrows Yamaha,9.0,1997
9,Stewart Ford,6.0,1997
10,Tyrrell Ford,2.0,1997
1,McLaren Mercedes,156.0,1998
2,Ferrari,133.0,1998
3,Williams Mecachrome,38.0,1998
4,Jordan Mugen Honda,34.0,1998
5,Benetton Playlife,33.0,1998
6,Sauber Petronas,10.0,1998
7,Arrows,6.0,1998
8,Stewart Ford,5.0,1998
9,Prost Peugeot,1.0,1998
1,Ferrari,128.0,1999
2,McLaren Mercedes,124.0,1999
3,Jordan Mugen Honda,61.0,1999
4,Stewart Ford,36.0,1999
5,Williams Supertec,35.0,1999
6,Benetton Playlife,16.0,1999
7,Prost Peugeot,9.0,1999
8,Sauber Petronas,5.0,1999
9,Minardi Ford,1.0,1999
10,Arrows,1.0,1999
1,Ferrari,170.0,2000
2,McLaren Mercedes,152.0,2000
3,Williams BMW,36.0,2000
4,Benetton Playlife,20.0,2000
5,BAR Honda,20.0,2000
6,Jordan Mugen Honda,17.0,2000
7,Arrows Supertec,7.0,2000
8,Sauber Petronas,6.0,2000
9,Jaguar Cosworth,4.0,2000
1,Ferrari,179.0,2001
2,McLaren Mercedes,102.0,2001
3,Williams BMW,80.0,2001
4,Sauber Petronas,21.0,2001
5,Jordan Honda,19.0,2001
6,BAR Honda,17.0,2001
7,Benetton Renault,10.0,2001
8,Jaguar Cosworth,9.0,2001
9,Prost Acer,4.0,2001
10,Arrows Asiatech,1.0,2001
1,Ferrari,221.0,2002
2,Williams BMW,92.0,2002
3,McLaren Mercedes,65.0,2002
4,Renault,23.0,2002
5,Sauber Petronas,11.0,2002
6,Jordan Honda,9.0,2002
7,Jaguar Cosworth,8.0,2002
8,BAR Honda,7.0,2002
9,Minardi Asiatech,2.0,2002
10,Toyota,2.0,2002
11,Arrows Cosworth,2.0,2002
1,Ferrari,158.0,2003
2,Williams BMW,144.0,2003
3,McLaren Mercedes,142.0,2003
4,Renault,88.0,2003
5,BAR Honda,26.0,2003
6,Sauber Petronas,19.0,2003
7,Jaguar Cosworth,18.0,2003
8,Toyota,16.0,2003
9,Jordan Ford,13.0,2003
10,Minardi Cosworth,0.0,2003
1,Ferrari,262.0,2004
2,BAR Honda,119.0,2004
3,Renault,105.0,2004
4,Williams BMW,88.0,2004
5,McLaren Mercedes,69.0,2004
6,Sauber Petronas,34.0,2004
7,Jaguar Cosworth,10.0,2004
8,Toyota,9.0,2004
9,Jordan Ford,5.0,2004
10,Minardi Cosworth,1.0,2004
1,Renault,191.0,2005
2,McLaren Mercedes,182.0,2005
3,Ferrari,100.0,2005
4,Toyota,88.0,2005
5,Williams BMW,66.0,2005
6,BAR Honda,38.0,2005
7,RBR Cosworth,34.0,2005
8,Sauber Petronas,20.0,2005
9,Jordan Toyota,12.0,2005
10,Minardi Cosworth,7.0,2005
1,Renault,206.0,2006
2,Ferrari,201.0,2006
3,McLaren Mercedes,110.0,2006
4,Honda,86.0,2006
5,Sauber BMW,36.0,2006
6,Toyota,35.0,2006
7,RBR Ferrari,16.0,2006
8,Williams Cosworth,11.0,2006
9,STR Cosworth,1.0,2006
10,MF1 Toyota,0.0,2006
11,Super Aguri Honda,0.0,2006
1,Ferrari,204.0,2007
2,Sauber BMW,101.0,2007
3,Renault,51.0,2007
4,Williams Toyota,33.0,2007
5,Red Bull Renault,24.0,2007
6,Toyota,13.0,2007
7,STR Ferrari,8.0,2007
8,Honda,6.0,2007
9,Super Aguri Honda,4.0,2007
10,Spyker Ferrari,1.0,2007
EX,McLaren Mercedes,0.0,2007
1,Ferrari,172.0,2008
2,McLaren Mercedes,151.0,2008
3,Sauber BMW,135.0,2008
4,Renault,80.0,2008
5,Toyota,56.0,2008
6,STR Ferrari,39.0,2008
7,Red Bull Renault,29.0,2008
8,Williams Toyota,26.0,2008
9,Honda,14.0,2008
10,Force India Ferrari,0.0,2008
11,Super Aguri Honda,0.0,2008
1,Brawn Mercedes,172.0,2009
2,RBR Renault,153.5,2009
3,McLaren Mercedes,71.0,2009
4,Ferrari,70.0,2009
5,Toyota,59.5,2009
6,Sauber BMW,36.0,2009
7,Williams Toyota,34.5,2009
8,Renault,26.0,2009
9,Force India Mercedes,13.0,2009
10,STR Ferrari,8.0,2009
1,RBR Renault,498.0,2010
2,McLaren Mercedes,454.0,2010
3,Ferrari,396.0,2010
4,Mercedes,214.0,2010
5,Renault,163.0,2010
6,Williams Cosworth,69.0,2010
7,Force India Mercedes,68.0,2010
8,Sauber Ferrari,44.0,2010
9,STR Ferrari,13.0,2010
10,Lotus Cosworth,0.0,2010
11,HRT Cosworth,0.0,2010
12,Virgin Cosworth,0.0,2010
1,Red Bull Racing Renault,650.0,2011
2,McLaren Mercedes,497.0,2011
3,Ferrari,375.0,2011
4,Mercedes,165.0,2011
5,Renault,73.0,2011
6,Force India Mercedes,69.0,2011
7,Sauber Ferrari,44.0,2011
8,STR Ferrari,41.0,2011
9,Williams Cosworth,5.0,2011
10,Lotus Renault,0.0,2011
11,HRT Cosworth,0.0,2011
12,Virgin Cosworth,0.0,2011
1,Red Bull Racing Renault,460.0,2012
2,Ferrari,400.0,2012
3,McLaren Mercedes,378.0,2012
4,Lotus Renault,303.0,2012
5,Mercedes,142.0,2012
6,Sauber Ferrari,126.0,2012
7,Force India Mercedes,109.0,2012
8,Williams Renault,76.0,2012
9,STR Ferrari,26.0,2012
10,Caterham Renault,0.0,2012
11,Marussia Cosworth,0.0,2012
12,HRT Cosworth,0.0,2012
1,Red Bull Racing Renault,596.0,2013
2,Mercedes,360.0,2013
3,Ferrari,354.0,2013
4,Lotus Renault,315.0,2013
5,McLaren Mercedes,122.0,2013
6,Force India Mercedes,77.0,2013
7,Sauber Ferrari,57.0,2013
8,STR Ferrari,33.0,2013
9,Williams Renault,5.0,2013
10,Marussia Cosworth,0.0,2013
11,Caterham Renault,0.0,2013
1,Mercedes,701.0,2014
2,Red Bull Racing Renault,405.0,2014
3,Williams Mercedes,320.0,2014
4,Ferrari,216.0,2014
5,McLaren Mercedes,181.0,2014
6,Force India Mercedes,155.0,2014
7,STR Renault,30.0,2014
8,Lotus Renault,10.0,2014
9,Marussia Ferrari,2.0,2014
10,Sauber Ferrari,0.0,2014
11,Caterham Renault,0.0,2014
1,Mercedes,703.0,2015
2,Ferrari,428.0,2015
3,Williams Mercedes,257.0,2015
4,Red Bull Racing Renault,187.0,2015
5,Force India Mercedes,136.0,2015
6,Lotus Mercedes,78.0,2015
7,STR Renault,67.0,2015
8,Sauber Ferrari,36.0,2015
9,McLaren Honda,27.0,2015
10,Marussia Ferrari,0.0,2015
1,Mercedes,765.0,2016
2,Red Bull Racing TAG Heuer,468.0,2016
3,Ferrari,398.0,2016
4,Force India Mercedes,173.0,2016
5,Williams Mercedes,138.0,2016
6,McLaren Honda,76.0,2016
7,Toro Rosso Ferrari,63.0,2016
8,Haas Ferrari,29.0,2016
9,Renault,8.0,2016
10,Sauber Ferrari,2.0,2016
11,MRT Mercedes,1.0,2016
1,Mercedes,668.0,2017
2,Ferrari,522.0,2017
3,Red Bull Racing TAG Heuer,368.0,2017
4,Force India Mercedes,187.0,2017
5,Williams Mercedes,83.0,2017
6,Renault,57.0,2017
7,Toro Rosso,53.0,2017
8,Haas Ferrari,47.0,2017
9,McLaren Honda,30.0,2017
10,Sauber Ferrari,5.0,2017
1,Mercedes,655.0,2018
2,Ferrari,571.0,2018
3,Red Bull Racing TAG Heuer,419.0,2018
4,Renault,122.0,2018
5,Haas Ferrari,93.0,2018
6,McLaren Renault,62.0,2018
7,Force India Mercedes,52.0,2018
8,Sauber Ferrari,48.0,2018
9,Scuderia Toro Rosso Honda,33.0,2018
10,Williams Mercedes,7.0,2018
EX,Force India Sahara,0.0,2018
1,Mercedes,739.0,2019
2,Ferrari,504.0,2019
3,Red Bull Racing Honda,417.0,2019
4,McLaren Renault,145.0,2019
5,Renault,91.0,2019
6,Scuderia Toro Rosso Honda,85.0,2019
7,Racing Point BWT Mercedes,73.0,2019
8,Alfa Romeo Racing Ferrari,57.0,2019
9,Haas Ferrari,28.0,2019
10,Williams Mercedes,1.0,2019
1,Mercedes,573.0,2020
2,Red Bull Racing Honda,319.0,2020
3,McLaren Renault,202.0,2020
4,Racing Point BWT Mercedes,195.0,2020
5,Renault,181.0,2020
6,Ferrari,131.0,2020
7,AlphaTauri Honda,107.0,2020
8,Alfa Romeo Racing Ferrari,8.0,2020
9,Haas Ferrari,3.0,2020
10,Williams Mercedes,0.0,2020
1,Mercedes,613.5,2021
2,Red Bull Racing Honda,585.5,2021
3,Ferrari,323.5,2021
4,McLaren Mercedes,275.0,2021
5,Alpine Renault,155.0,2021
6,AlphaTauri Honda,142.0,2021
7,Aston Martin Mercedes,77.0,2021
8,Williams Mercedes,23.0,2021
9,Alfa Romeo Racing Ferrari,13.0,2021
10,Haas Ferrari,0.0,2021
1,Red Bull Racing RBPT,759.0,2022
2,Ferrari,554.0,2022
3,Mercedes,515.0,2022
4,Alpine Renault,173.0,2022
5,McLaren Mercedes,159.0,2022
6,Alfa Romeo Ferrari,55.0,2022
7,Aston Martin Aramco Mercedes,55.0,2022
8,Haas Ferrari,37.0,2022
9,AlphaTauri RBPT,35.0,2022
10,Williams Mercedes,8.0,2022
